Date,Time,Core Usage %,Temperature C,
29.3.2023,16:7:38.869,9.2,54,
29.3.2023,16:7:40.919,6.3,52,
29.3.2023,16:7:42.989,5.7,47,
29.3.2023,16:7:45.024,3.2,49,
29.3.2023,16:7:47.064,3.9,48,
29.3.2023,16:7:49.103,9.2,52,
29.3.2023,16:7:51.163,10.7,59,
29.3.2023,16:7:53.196,8.3,53,
29.3.2023,16:7:55.219,6.2,52,
29.3.2023,16:7:57.252,13.8,65,
29.3.2023,16:7:59.291,9.0,51,
29.3.2023,16:8:1.338,7.3,52,
29.3.2023,16:8:3.386,8.8,51,
29.3.2023,16:8:5.445,10.3,52,
29.3.2023,16:8:7.477,6.1,51,
29.3.2023,16:8:9.526,13.0,54,
29.3.2023,16:8:11.574,8.8,58,
29.3.2023,16:8:13.610,7.1,70,
29.3.2023,16:8:15.653,6.1,57,
29.3.2023,16:8:17.701,8.0,51,
29.3.2023,16:8:19.737,11.6,52,
29.3.2023,16:8:21.766,11.8,52,
29.3.2023,16:8:23.806,6.3,52,
29.3.2023,16:8:25.873,5.0,64,
29.3.2023,16:8:27.922,7.0,55,
29.3.2023,16:8:29.963,11.3,50,
29.3.2023,16:8:32.000,6.5,51,
29.3.2023,16:8:34.042,7.9,54,
29.3.2023,16:8:36.078,6.7,51,
29.3.2023,16:8:38.110,7.7,60,
29.3.2023,16:8:40.161,12.0,61,
29.3.2023,16:8:42.221,5.5,59,
29.3.2023,16:8:44.277,5.7,50,
29.3.2023,16:8:46.321,9.1,50,
29.3.2023,16:8:48.375,10.8,59,
29.3.2023,16:8:50.424,37.2,56,
29.3.2023,16:8:52.466,10.1,54,
29.3.2023,16:8:54.532,12.4,54,
29.3.2023,16:8:56.584,10.6,52,
29.3.2023,16:8:58.632,14.2,64,
29.3.2023,16:9:0.685,18.1,53,
29.3.2023,16:9:2.730,10.1,60,
29.3.2023,16:9:4.767,17.5,53,
29.3.2023,16:9:6.812,2.7,52,
29.3.2023,16:9:8.855,9.6,63,
29.3.2023,16:9:10.887,11.3,52,
29.3.2023,16:9:12.941,14.3,52,
29.3.2023,16:9:14.995,8.1,64,
29.3.2023,16:9:17.037,18.7,61,
29.3.2023,16:9:19.067,13.0,62,
29.3.2023,16:9:21.109,4.8,53,
29.3.2023,16:9:23.169,5.0,60,
29.3.2023,16:9:25.231,9.0,53,
29.3.2023,16:9:27.294,3.4,51,
29.3.2023,16:9:29.343,9.8,67,
29.3.2023,16:9:31.404,6.7,51,
29.3.2023,16:9:33.471,8.7,64,
29.3.2023,16:9:35.503,9.7,53,
29.3.2023,16:9:37.535,14.0,54,
29.3.2023,16:9:39.574,12.1,60,
29.3.2023,16:9:41.619,7.4,55,
29.3.2023,16:9:43.663,9.0,52,
29.3.2023,16:9:45.702,7.4,55,
29.3.2023,16:9:47.744,8.0,54,
29.3.2023,16:9:49.801,23.3,67,
29.3.2023,16:9:51.838,13.6,59,
29.3.2023,16:9:53.868,10.8,58,
29.3.2023,16:9:55.886,13.6,57,
29.3.2023,16:9:57.919,10.0,55,
29.3.2023,16:10:0.016,21.8,71,
29.3.2023,16:10:2.050,11.8,59,
29.3.2023,16:10:4.082,9.6,59,
29.3.2023,16:10:6.113,11.5,58,
29.3.2023,16:10:8.151,17.5,61,
29.3.2023,16:10:10.209,20.6,67,
29.3.2023,16:10:12.265,9.8,55,
29.3.2023,16:10:14.307,9.3,56,
29.3.2023,16:10:16.350,13.6,63,
29.3.2023,16:10:18.382,7.4,57,
29.3.2023,16:10:20.419,11.0,66,
29.3.2023,16:10:22.447,10.7,59,
29.3.2023,16:10:24.499,8.5,56,
29.3.2023,16:10:26.540,10.6,60,
29.3.2023,16:10:28.568,17.7,64,
29.3.2023,16:10:30.615,18.3,60,
29.3.2023,16:10:32.657,13.7,64,
29.3.2023,16:10:34.713,9.3,57,
29.3.2023,16:10:36.745,14.9,67,
29.3.2023,16:10:38.779,9.6,62,
29.3.2023,16:10:40.827,15.2,65,
29.3.2023,16:10:42.864,8.3,61,
29.3.2023,16:10:44.906,8.3,60,
29.3.2023,16:10:46.953,9.6,67,
29.3.2023,16:10:48.987,8.7,66,
29.3.2023,16:10:51.025,10.3,58,
29.3.2023,16:10:53.055,10.5,60,
29.3.2023,16:10:55.092,6.1,59,
29.3.2023,16:10:57.122,5.7,56,
29.3.2023,16:10:59.175,6.7,65,
29.3.2023,16:11:1.215,8.5,58,
29.3.2023,16:11:3.246,8.0,64,
29.3.2023,16:11:5.282,14.6,67,
29.3.2023,16:11:7.343,11.8,58,
29.3.2023,16:11:9.371,8.2,61,
29.3.2023,16:11:11.419,7.3,54,
29.3.2023,16:11:13.463,4.8,60,
29.3.2023,16:11:15.490,7.6,60,
29.3.2023,16:11:17.521,7.3,58,
29.3.2023,16:11:19.624,18.0,77,
29.3.2023,16:11:21.673,58.8,83,
29.3.2023,16:11:23.718,35.9,90,
29.3.2023,16:11:25.757,59.1,66,
29.3.2023,16:11:27.796,7.0,58,
29.3.2023,16:11:29.829,18.2,75,
29.3.2023,16:11:31.876,15.8,59,
29.3.2023,16:11:33.909,5.7,58,
29.3.2023,16:11:35.956,8.8,60,
29.3.2023,16:11:37.995,7.3,63,
29.3.2023,16:11:40.029,13.0,71,
29.3.2023,16:11:42.064,19.3,72,
29.3.2023,16:11:44.117,33.2,88,
29.3.2023,16:11:46.157,56.7,90,
29.3.2023,16:11:48.196,96.2,94,
29.3.2023,16:11:50.243,99.9,94,
29.3.2023,16:11:52.289,100.0,94,
29.3.2023,16:11:54.339,100.0,94,
29.3.2023,16:11:56.391,100.0,95,
29.3.2023,16:11:58.440,100.0,95,
29.3.2023,16:12:0.485,100.0,94,
29.3.2023,16:12:2.542,100.0,95,
29.3.2023,16:12:4.593,100.0,95,
29.3.2023,16:12:6.637,100.0,96,
29.3.2023,16:12:8.691,100.0,95,
29.3.2023,16:12:10.742,100.0,95,
29.3.2023,16:12:12.797,100.0,95,
29.3.2023,16:12:14.840,100.0,95,
29.3.2023,16:12:16.910,100.0,94,
29.3.2023,16:12:18.950,100.0,95,
29.3.2023,16:12:21.026,100.0,96,
29.3.2023,16:12:23.077,100.0,96,
29.3.2023,16:12:25.147,100.0,96,
29.3.2023,16:12:27.192,100.0,95,
29.3.2023,16:12:29.250,100.0,95,
29.3.2023,16:12:31.340,100.0,94,
29.3.2023,16:12:33.387,100.0,95,
29.3.2023,16:12:35.443,100.0,88,
29.3.2023,16:12:37.510,100.0,86,
29.3.2023,16:12:39.561,100.0,85,
29.3.2023,16:12:41.626,99.9,83,
29.3.2023,16:12:43.696,100.0,83,
29.3.2023,16:12:45.758,99.9,81,
29.3.2023,16:12:47.826,100.0,81,
29.3.2023,16:12:49.902,100.0,81,
29.3.2023,16:12:51.970,100.0,81,
29.3.2023,16:12:54.034,100.0,81,
29.3.2023,16:12:56.084,100.0,80,
29.3.2023,16:12:58.146,100.0,80,
29.3.2023,16:13:0.239,100.0,80,
29.3.2023,16:13:2.307,100.0,81,
29.3.2023,16:13:4.381,100.0,80,
29.3.2023,16:13:6.433,100.0,80,
29.3.2023,16:13:8.506,100.0,80,
29.3.2023,16:13:10.584,100.0,80,
29.3.2023,16:13:12.642,100.0,81,
29.3.2023,16:13:14.713,100.0,80,
29.3.2023,16:13:16.765,100.0,81,
29.3.2023,16:13:18.824,100.0,81,
29.3.2023,16:13:20.885,100.0,79,
29.3.2023,16:13:22.956,100.0,79,
29.3.2023,16:13:25.043,100.0,78,
29.3.2023,16:13:27.115,100.0,80,
29.3.2023,16:13:29.184,100.0,79,
29.3.2023,16:13:31.251,100.0,79,
29.3.2023,16:13:33.330,99.9,76,
29.3.2023,16:13:35.431,100.0,74,
29.3.2023,16:13:39.558,100.0,75,
29.3.2023,16:13:41.650,100.0,75,
29.3.2023,16:13:43.707,100.0,75,
29.3.2023,16:13:45.761,100.0,80,
29.3.2023,16:13:47.813,100.0,80,
29.3.2023,16:13:49.873,100.0,79,
29.3.2023,16:13:51.953,100.0,76,
29.3.2023,16:13:54.039,100.0,75,
29.3.2023,16:13:56.083,100.0,77,
29.3.2023,16:13:58.145,100.0,80,
29.3.2023,16:14:0.218,100.0,81,
29.3.2023,16:14:2.271,100.0,80,
29.3.2023,16:14:4.318,100.0,80,
29.3.2023,16:14:6.366,100.0,81,
29.3.2023,16:14:8.424,100.0,81,
29.3.2023,16:14:10.496,100.0,80,
29.3.2023,16:14:12.551,100.0,80,
29.3.2023,16:14:14.600,100.0,82,
29.3.2023,16:14:16.656,100.0,81,
29.3.2023,16:14:18.705,100.0,81,
29.3.2023,16:14:20.765,100.0,81,
29.3.2023,16:14:22.814,95.5,78,
29.3.2023,16:14:24.885,13.1,63,
29.3.2023,16:14:26.913,5.4,67,
29.3.2023,16:14:28.944,6.4,66,
29.3.2023,16:14:30.982,12.5,73,
29.3.2023,16:14:33.028,7.3,66,
29.3.2023,16:14:35.066,8.7,66,
29.3.2023,16:14:37.099,8.7,67,
29.3.2023,16:14:39.142,11.4,68,
29.3.2023,16:14:41.167,15.7,75,
Date,Time,"Core Usage (avg) [%]","Core Temperatures (avg) [�C]",
,,CPU [#0]: Intel Core i7-8750H,CPU [#0]: Intel Core i7-8750H: DTS,
